Feature,Pearson_r,Spearman_r,Avg_Correlation,Selected_Corr,MI_Score,Selected_MI,RFE_Rank,Selected_RFE,RF_Importance,Final_Selected
AQI_MA30,0.7565603589336705,0.7953250514514453,0.7759427051925578,True,0.5096255474156663,True,15,False,2.2903755048729683e-05,True
AQI_MA7,0.8105985495336142,0.8438247629834638,0.827211656258539,True,0.6221012523914844,True,1,True,2.5561575419716227e-05,True
AQI_lag1,0.7486948249828986,0.7903393370971107,0.7695170810400047,True,0.5123782680037134,True,13,False,0.008522474016459364,True
AQI_lag7,0.6004771725898526,0.6741975556435872,0.6373373641167199,True,0.3124899906726748,False,11,False,1.3522254153624267e-05,False
AQI_roc,0.3648837828103052,0.29463703459286067,0.32976040870158296,True,0.176979156014057,False,1,True,3.6620208853284864e-05,True
CO,0.5603517222228076,0.5951696526370475,0.5777606874299275,True,0.30110157354823297,False,1,True,6.730849472669986e-05,True
DayOfWeek,0.07825276064793107,0.07630964994222876,0.07728120529507992,False,0.014295034614810742,False,14,False,1.2452598003735073e-05,False
Humidity,0.32064939118832747,0.34107172314816925,0.33086055716824836,True,0.09698924499819661,False,8,False,1.4680995336456649e-05,False
IsWeekend,0.1164460794184499,0.11382234843147175,0.11513421392496082,True,0.014249843722560218,False,16,False,2.2881858651641023e-06,False
Month,0.15500699153186706,0.14084780010997203,0.14792739582091954,True,0.3941682783465166,False,6,False,1.565012581741433e-05,False
NH3,0.5688111709372811,0.6037513543338188,0.5862812626355499,True,0.23154266558508318,False,1,True,0.0010422638455782286,True
NO2,0.5583535234378358,0.5913237904259274,0.5748386569318816,True,0.2068491719642669,False,1,True,1.4325913580487047e-05,True
O3,0.49047278757800733,0.5359927339706093,0.5132327607743083,True,0.1782467833271184,False,5,False,4.454351848727477e-05,False
PM10,0.6878610908297571,0.7713197474777718,0.7295904191537644,True,2.4756110522055073,True,1,True,0.08460582826855051,True
PM10_MA30,0.7287085715169691,0.7762901057319425,0.7524993386244558,True,0.4616746224479167,False,9,False,2.0090794229558676e-05,False
PM10_MA7,0.7211390760187355,0.780095293045098,0.7506171845319167,True,0.4820627751997142,True,4,False,4.045519554711448e-05,True
PM2.5,0.9240631358971049,0.8807530984647841,0.9024081171809445,True,3.16061446168215,True,1,True,0.9053523985032497,True
PM2.5_MA30,0.7509121437117685,0.7872261162914599,0.7690691300016141,True,0.4733283722712782,True,12,False,1.9806247748387882e-05,True
PM2.5_MA7,0.7842280453778994,0.8086223683339666,0.796425206855933,True,0.5176974708535411,True,7,False,2.3700003640062874e-05,True
Pb,0.5363327423370304,0.5526000924798341,0.5444664174084323,True,0.18754777047926208,False,3,False,2.3378657347219577e-05,False
SO2,0.4360711815724138,0.484423067014827,0.4602471242936204,True,0.13046344922599484,False,10,False,1.1925854082501412e-05,False
Temperature,0.6958881130251081,0.7529517582933284,0.7244199356592183,True,0.40726704250258283,False,2,False,2.6243268429952947e-05,False
Wind_Speed,0.13557679253179974,0.1393548417103382,0.13746581712106898,True,0.026934768433775957,False,1,True,4.1577719845014155e-05,True
